Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
08:49,2;2135,616;-72,09999847;2071387;231;60;Serving beam;n257;26500;231_60;231060;70;-72,09999847
08:49,7;2134,848;-72,19999695;2071387;231;60;Serving beam;n257;26500;231_60;231060;70;-72,19999695
08:50,2;2061,72;-72,80000305;2071387;231;60;Serving beam;n257;26500;231_60;231060;70;-72,80000305
08:50,7;2130,965;-72,19999695;2071387;231;55;Serving beam;n257;26500;231_55;231055;70;-72,19999695
08:51,2;1796,928;-73,19999695;2071387;231;55;Detected beam;n257;26500;231_55;231055;70;-73,19999695
08:51,7;1858,056;-76;2071387;231;39;Serving beam;n257;26500;231_39;231039;70;-76
08:52,2;2033,784;-78,5;2071387;231;39;Serving beam;n257;26500;231_39;231039;70;-78,5
08:52,7;1125,864;-78,90000153;2071387;231;39;Detected beam;n257;26500;231_39;231039;70;-78,90000153
08:53,2;1874,784;-80,69999695;2071387;231;39;Serving beam;n257;26500;231_39;231039;70;-80,69999695
08:53,7;2063,592;-79,80000305;2071387;231;39;Serving beam;n257;26500;231_39;231039;70;-79,80000305
08:54,2;2101,566;-81,30000305;2071387;231;39;Serving beam;n257;26500;231_39;231039;70;-81,30000305
08:54,7;2034,504;-82;2071387;231;39;Serving beam;n257;26500;231_39;231039;70;-82
08:55,2;1874,544;-82,09999847;2071387;231;39;Serving beam;n257;26500;231_39;231039;70;-82,09999847
08:55,7;1925,857;-83,30000305;2071387;231;39;Detected beam;n257;26500;231_39;231039;70;-83,30000305
08:56,2;1432,032;-83,59999847;2071387;231;38;Serving beam;n257;26500;231_38;231038;70;-83,59999847
08:56,7;1686,624;-84,30000305;2071387;231;38;Serving beam;n257;26500;231_38;231038;70;-84,30000305
08:57,2;1964,76;-84,90000153;2071387;231;38;Serving beam;n257;26500;231_38;231038;70;-84,90000153
08:57,7;1931,496;-83,30000305;2071387;231;38;Serving beam;n257;26500;231_38;231038;70;-83,30000305
08:58,2;1960,464;-83,09999847;2071387;231;38;Serving beam;n257;26500;231_38;231038;70;-83,09999847
08:58,7;1930,613;-82,90000153;2071387;231;38;Serving beam;n257;26500;231_38;231038;71;-82,90000153
08:59,2;2074,896;-81,30000305;2071387;231;38;Serving beam;n257;26500;231_38;231038;71;-81,30000305
08:59,7;1873,56;-80,80000305;2071387;231;38;Serving beam;n257;26500;231_38;231038;71;-80,80000305
09:00,2;2105,328;-82;2071387;231;38;Serving beam;n257;26500;231_38;231038;71;-82
09:00,7;2130,535;-79,40000153;2071387;231;38;Serving beam;n257;26500;231_38;231038;71;-79,40000153
09:01,2;2013,813;-79,40000153;2071387;231;38;Serving beam;n257;26500;231_38;231038;71;-79,40000153
09:01,7;2034,011;-80,30000305;2071387;231;38;Serving beam;n257;26500;231_38;231038;70;-80,30000305
09:02,2;1941,816;-79,69999695;2071387;231;38;Detected beam;n257;26500;231_38;231038;70;-79,69999695
09:02,7;2055,792;-79,80000305;2071387;231;38;Detected beam;n257;26500;231_38;231038;70;-79,80000305
09:03,2;1562,04;-80,5;2071387;231;12;Detected beam;n257;26500;231_12;231012;70;-80,5
09:03,7;1961,064;-83,69999695;2071387;231;7;Detected beam;n257;26500;231_7;231007;70;-83,69999695
09:04,2;1837,56;-84,90000153;2071387;231;7;Serving beam;n257;26500;231_7;231007;70;-84,90000153
09:04,7;1347,504;-85,40000153;2071387;231;7;Serving beam;n257;26500;231_7;231007;70;-85,40000153
09:05,2;1804,898;-87,30000305;2071387;231;7;Serving beam;n257;26500;231_7;231007;70;-87,30000305
09:05,7;1864,296;-87,19999695;2071387;231;7;Serving beam;n257;26500;231_7;231007;70;-87,19999695
09:06,2;1127,16;-87;2071387;231;7;Detected beam;n257;26500;231_7;231007;70;-87
09:06,7;791,736;-88,09999847;2071387;231;7;Detected beam;n257;26500;231_7;231007;70;-88,09999847
09:07,2;1255,441;-90,30000305;2071387;231;6;Serving beam;n257;26500;231_6;231006;70;-90,30000305
09:07,7;1897,728;-89,5;2071387;231;6;Serving beam;n257;26500;231_6;231006;70;-89,5
09:08,2;1923,312;-87,80000305;2071387;231;7;Serving beam;n257;26500;231_7;231007;70;-87,80000305
09:08,7;1900,128;-86,90000153;2071387;231;6;Serving beam;n257;26500;231_6;231006;70;-86,90000153
09:09,2;1779,048;-85,69999695;2071387;231;6;Serving beam;n257;26500;231_6;231006;70;-85,69999695
09:09,7;1894,204;-85,30000305;2071387;231;6;Serving beam;n257;26500;231_6;231006;70;-85,30000305
09:10,2;2135,042;-85;2071387;231;6;Serving beam;n257;26500;231_6;231006;70;-85
09:10,7;1729,824;-83,5;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-83,5
09:11,2;1642,801;-83,09999847;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-83,09999847
09:11,7;1786,92;-87,09999847;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-87,09999847
09:12,2;1424,376;-87,80000305;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-87,80000305
09:12,7;1543,345;-89,30000305;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-89,30000305
09:13,2;1602,746;-90,09999847;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-90,09999847
09:13,7;1394,905;-90,09999847;2071387;231;6;Detected beam;n257;26500;231_6;231006;69;-90,09999847
09:14,2;1908,387;-89,59999847;2071387;231;6;Detected beam;n257;26500;231_6;231006;69;-89,59999847
09:14,7;1858,536;-88,5;2071387;231;6;Detected beam;n257;26500;231_6;231006;69;-88,5
09:15,2;2102,352;-87,5;2071387;231;6;Detected beam;n257;26500;231_6;231006;69;-87,5
09:15,7;2074,541;-87,09999847;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-87,09999847
09:16,2;2087,222;-87,40000153;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-87,40000153
09:16,7;1590,409;-86,80000305;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-86,80000305
09:17,2;1283,427;-88,19999695;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-88,19999695
09:17,7;1320,696;-89,09999847;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-89,09999847
09:18,2;691,584;-90,59999847;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-90,59999847
09:18,7;574,632;-91,90000153;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-91,90000153
09:19,2;606,816;-93,69999695;2071387;231;6;Serving beam;n257;26500;231_6;231006;69;-93,69999695
