Time;PDCP DL bitrate;1. best RSRP;NR-ARFCN;PCI;BI;BT;Band;Band (MHz);NR PCI Beam index;_oid;Height;RSRP
40:34,8;1064,256;-92;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-92
40:35,3;1417,152;-92,90000153;2258011;621;5;Detected beam;n260;37000;621_5;621005;74;-92,90000153
40:35,8;1614,168;-92,19999695;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-92,19999695
40:36,3;1302,432;-91,90000153;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-91,90000153
40:36,8;881,304;-92,90000153;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-92,90000153
40:37,3;729,36;-94,69999695;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-94,69999695
40:37,8;521,064;-95,59999847;2263195;624;4;Detected beam;n260;37000;624_4;624004;75;-95,59999847
40:38,3;509,232;-95,59999847;2263195;624;4;Detected beam;n260;37000;624_4;624004;75;-95,59999847
40:38,8;664,44;-95,59999847;2263195;624;4;Detected beam;n260;37000;624_4;624004;75;-95,59999847
40:39,3;415,344;-95,59999847;2263195;624;4;Detected beam;n260;37000;624_4;624004;75;-95,59999847
40:39,8;366,144;-100,3000031;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-100,3000031
40:40,3;416,832;-102,5;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-102,5
40:40,8;365,616;-103,1999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-103,1999969
40:41,3;471,624;-102,6999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-102,6999969
40:41,8;419,352;-102,1999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-102,1999969
40:42,3;539,208;-103;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-103
40:42,8;492,648;-102,5;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-102,5
40:43,3;358,872;-102,6999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-102,6999969
40:43,8;714,696;-103,9000015;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-103,9000015
40:44,3;502,728;-103,6999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-103,6999969
40:44,8;389,376;-103,6999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-103,6999969
40:45,3;595,08;-102,1999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-102,1999969
40:45,8;398,16;-101,6999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;75;-101,6999969
40:46,3;622,464;-101,0999985;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-101,0999985
40:46,8;501,456;-98,90000153;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-98,90000153
40:47,3;615,288;-100,3000031;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-100,3000031
40:47,8;551,52;-100;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-100
40:48,3;358,776;-100,3000031;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-100,3000031
40:48,8;507,024;-101,3000031;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-101,3000031
40:49,3;361,992;-101,4000015;2261467;623;4;Detected beam;n260;37000;623_4;623004;74;-101,4000015
40:49,8;611,64;-101,0999985;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-101,0999985
40:50,3;572,592;-100,5;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-100,5
40:50,8;437,664;-101,5;2258011;621;4;Detected beam;n260;37000;621_4;621004;74;-101,5
40:51,3;254,64;-103,4000015;2258011;621;5;Serving beam;n260;37000;621_5;621005;74;-103,4000015
40:51,8;235,152;-105,3000031;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-105,3000031
40:52,3;382,968;-106,3000031;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-106,3000031
40:52,8;317,712;-104,6999969;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-104,6999969
40:53,3;211,56;-103,8000031;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-103,8000031
40:53,8;187,944;-106,5;2258011;621;4;Serving beam;n260;37000;621_4;621004;74;-106,5
40:54,3;168,336;-109,3000031;2258011;621;4;Serving beam;n260;37000;621_4;621004;73;-109,3000031
40:54,8;195,984;-106,5;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-106,5
40:55,3;239,568;-105,9000015;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-105,9000015
40:55,8;203,376;-105,6999969;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-105,6999969
40:56,3;245,76;-105,6999969;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-105,6999969
40:56,8;372,264;-105,6999969;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-105,6999969
40:57,3;925,104;-103,6999969;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-103,6999969
40:57,8;1271,856;-97,19999695;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-97,19999695
40:58,3;1896,768;-91,69999695;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-91,69999695
40:58,8;1590,266;-89;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-89
40:59,3;1208,064;-87,90000153;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-87,90000153
40:59,8;1398,816;-88,40000153;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-88,40000153
41:00,3;1418,064;-88,40000153;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-88,40000153
41:00,8;1184,184;-89,19999695;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-89,19999695
41:01,3;813,816;-90,30000305;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-90,30000305
41:01,8;299,64;-92,80000305;2263195;624;5;Detected beam;n260;37000;624_5;624005;73;-92,80000305
41:02,3;252,264;-93,69999695;2263195;624;5;Detected beam;n260;37000;624_5;624005;73;-93,69999695
41:02,8;250,92;-94,19999695;2263195;624;5;Detected beam;n260;37000;624_5;624005;73;-94,19999695
41:03,3;119,352;-95;2263195;624;5;Detected beam;n260;37000;624_5;624005;73;-95
41:03,8;61,32;-96,30000305;2263195;624;5;Detected beam;n260;37000;624_5;624005;73;-96,30000305
41:04,3;20,616;-103,3000031;2259739;622;5;Detected beam;n260;37000;622_5;622005;73;-103,3000031
41:04,8;22,824;-108,6999969;2259739;622;5;Detected beam;n260;37000;622_5;622005;73;-108,6999969
41:05,3;125,016;-110,5999985;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-110,5999985
41:05,8;97,488;-110,1999969;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-110,1999969
41:06,3;136,824;-109,8000031;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-109,8000031
41:06,8;187,896;-108,5;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-108,5
41:07,3;173,76;-108,4000015;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-108,4000015
41:07,8;82,416;-109,1999969;2258011;621;5;Serving beam;n260;37000;621_5;621005;73;-109,1999969
41:08,3;102,624;-110,5999985;2258011;621;5;Detected beam;n260;37000;621_5;621005;73;-110,5999985
41:08,8;122,592;-111,1999969;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-111,1999969
41:09,3;84,648;-111,0999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-111,0999985
41:09,8;26,832;-112,4000015;2258011;621;6;Detected beam;n260;37000;621_6;621006;73;-112,4000015
41:10,0;;-112,4000015;2258011;621;6;Detected beam;n260;37000;621_6;621006;73;-112,4000015
41:10,8;0;-112,8000031;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-112,8000031
41:11,8;0;-113,3000031;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-113,3000031
41:12,8;5,724;-107,8000031;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-107,8000031
41:13,3;326,4;-108,1999969;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-108,1999969
41:13,8;651,768;-107,0999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-107,0999985
41:14,3;409,92;-105,5999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-105,5999985
41:14,8;278,952;-107;2258011;621;6;Serving beam;n260;37000;621_6;621006;72;-107
41:15,3;155,592;-108,4000015;2259739;622;6;Detected beam;n260;37000;622_6;622006;73;-108,4000015
41:15,8;104,256;-108,3000031;2259739;622;6;Detected beam;n260;37000;622_6;622006;73;-108,3000031
41:16,3;90,264;-108,5;2259739;622;6;Detected beam;n260;37000;622_6;622006;73;-108,5
41:16,8;85,608;-111,9000015;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-111,9000015
41:17,3;92,496;-111,8000031;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-111,8000031
41:17,8;129,96;-111,3000031;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-111,3000031
41:18,3;136,176;-110,0999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-110,0999985
41:18,8;125,016;-111,1999969;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-111,1999969
41:19,3;137,424;-109,6999969;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-109,6999969
41:19,8;173,328;-111,1999969;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-111,1999969
41:20,3;201,408;-108,9000015;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-108,9000015
41:20,8;291,744;-107,5;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-107,5
41:21,3;352,704;-106,6999969;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-106,6999969
41:21,8;311,64;-107;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-107
41:22,3;217,632;-109,0999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-109,0999985
41:22,8;272,424;-109,3000031;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-109,3000031
41:23,3;144,456;-108,5999985;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-108,5999985
41:23,8;451,512;-107,9000015;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-107,9000015
41:24,3;869,52;-104;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-104
41:24,8;1473,528;-99,30000305;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-99,30000305
41:25,3;1830,048;-95;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-95
41:25,8;1993,08;-91,80000305;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-91,80000305
41:26,3;2038,608;-89,69999695;2258011;621;6;Serving beam;n260;37000;621_6;621006;73;-89,69999695
